player,draft_year,position,position_group,model_group,college,projected_pick,projected_round,projection_rank_source,overall_rank_2026,position_rank_2026,projection_score,ceiling_score,floor_score,starter_probability,elite_probability,bust_probability,projected_value,predicted_position_percentile,position_score,projection_tier,projection_explanation
Caleb Downs,2026.0,S,S,DB,Ohio St.,11.0,1.0,,1,1,84.2,87.8,69.1,0.673,0.694,0.309,15.503,65.162,93.9,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Sonny Styles,2026.0,LB,LB,LB,Ohio St.,7.0,1.0,,2,1,83.9,87.7,66.4,0.66,0.677,0.336,15.995,63.755,94.3,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jeremiyah Love,2026.0,RB,RB,RB,Notre Dame,3.0,1.0,,3,1,83.8,86.9,70.2,0.651,0.657,0.298,12.031,64.329,94.0,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Spencer Fano,2026.0,OT,OT,OT,Utah,9.0,1.0,,4,1,83.7,87.2,65.6,0.628,0.622,0.344,18.109,61.051,95.5,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Monroe Freeling,2026.0,OT,OT,OT,Georgia,19.0,1.0,,5,2,83.3,86.8,65.8,0.62,0.615,0.342,17.848,60.735,95.2,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kadyn Proctor,2026.0,OT,OT,OT,Alabama,12.0,1.0,,6,3,83.0,86.2,65.7,0.628,0.605,0.343,17.897,60.415,94.8,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Arvell Reese,2026.0,LB,LB,LB,Ohio St.,5.0,1.0,,7,2,82.9,86.9,64.3,0.651,0.675,0.357,15.538,62.949,93.3,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Blake Miller,2026.0,OT,OT,OT,Clemson,17.0,1.0,,8,4,82.5,86.0,65.5,0.618,0.61,0.345,17.579,60.229,94.3,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Max Iheanachor,2026.0,OT,OT,OT,Arizona St.,21.0,1.0,,8,4,82.5,86.0,64.5,0.616,0.61,0.355,17.48,60.225,94.3,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Carnell Tate,2026.0,WR,WR,WR,Ohio St.,4.0,1.0,,10,1,81.9,85.4,66.3,0.65,0.667,0.337,11.991,63.377,91.7,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Keldric Faulk,2026.0,DE,EDGE,EDGE,Auburn,31.0,1.0,,11,1,81.7,84.7,66.5,0.644,0.624,0.335,14.829,61.817,92.2,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Mansoor Delane,2026.0,CB,CB,DB,LSU,6.0,1.0,,12,1,81.6,85.1,67.8,0.66,0.679,0.322,14.632,64.21,90.9,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Caleb Lomu,2026.0,OT,OT,OT,Utah,28.0,1.0,,12,6,81.6,85.1,64.2,0.609,0.604,0.358,17.106,59.575,93.3,Starter-caliber projection,top-50 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Rueben Bain Jr.,2026.0,DE,EDGE,EDGE,Miami (FL),15.0,1.0,,12,2,81.6,84.7,66.4,0.649,0.627,0.336,14.945,61.775,92.0,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
