player,draft_year,position,position_group,model_group,college,round,pick,projected_value,actual_value,actual_position_percentile,predicted_position_percentile,position_score,final_score,ceiling_score,floor_score,starter_probability,elite_probability,bust_probability,tier,outlier_type,model_explanation
Rod Hill,1982,DB,CB,DB,Kentucky St.,1.0,25.0,18.9,6.0,41.9,71.8,80.8,75.8,76.3,72.1,0.669,0.628,0.279,Starter-caliber profile,negative_outlier_missed_projection,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Bobby Watkins,1982,DB,CB,DB,Texas St.,2.0,42.0,17.8,32.0,82.0,70.1,75.3,71.2,71.6,70.4,0.642,0.604,0.296,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Vernon Dean,1982,DB,CB,DB,San Diego St.,2.0,49.0,14.8,35.0,85.3,64.9,72.6,67.4,68.1,66.8,0.572,0.547,0.332,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Jim Burroughs,1982,DB,CB,DB,Michigan St.,3.0,57.0,11.8,12.0,57.6,58.1,65.8,60.2,61.9,58.7,0.502,0.503,0.413,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Rodney Lewis,1982,DB,CB,DB,Nebraska,3.0,58.0,11.9,4.0,33.8,58.5,68.5,62.2,63.9,59.1,0.502,0.503,0.409,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Vann McElroy,1982,DB,CB,DB,Baylor,3.0,64.0,12.7,44.0,90.4,60.0,69.9,63.9,66.5,57.6,0.531,0.564,0.424,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Benny Perrin,1982,DB,CB,DB,Alabama,3.0,65.0,12.9,22.0,72.7,61.2,71.2,65.1,67.6,57.3,0.541,0.57,0.427,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
John Krimm,1982,DB,CB,DB,Notre Dame,3.0,76.0,12.0,1.0,14.8,58.5,68.5,62.4,65.2,55.4,0.515,0.552,0.446,Rotational / contributor profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Paul Lankford,1982,DB,CB,DB,Penn St.,3.0,80.0,11.1,26.0,76.6,56.7,61.6,56.8,59.0,54.3,0.486,0.513,0.457,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Bruce McNorton,1982,DB,CB,DB,Georgetown (KY),4.0,96.0,9.8,37.0,86.5,53.5,49.3,46.7,47.6,52.5,0.437,0.426,0.475,Depth / replacement-level profile,major_positive_outlier,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
